,length,isSnackOnTheLeft,isSnackOnTheRight,isSnackHigher,isSnackLower,distanceToSnack,isLeftClear,isRightClear,isUpClear,isDownClear,distanceToDeath,turnsTotal,lastTurn,stepEvaluation,step
1,1,False,True,True,False,103.077640640442,1,1,1,1,7,0,0,5,Right
2,1,False,False,True,False,100,1,1,1,1,6,0,0,5,Right
3,1,True,False,True,False,103.077640640442,1,1,1,1,5,0,0,5,Right
4,1,True,False,True,False,111.80339887499,1,1,1,1,4,0,0,5,Right
5,1,True,False,True,False,125,1,1,1,1,3,0,0,5,Up
6,1,True,False,True,False,141.42135623731,1,1,1,1,2,0,0,16.4213562373095,Up
7,1,True,False,True,False,125,1,1,1,1,7,0,0,13.1966011250105,Up
8,1,True,False,True,False,111.80339887499,1,1,1,1,6,0,0,8.72575823454797,Up
9,1,True,False,True,False,103.077640640442,1,1,1,1,5,0,0,5,Left
10,1,True,False,False,False,100,1,1,1,1,4,0,0,25,Left
11,1,True,False,False,False,75,1,1,1,1,12,0,0,25,Left
12,1,True,False,False,False,50,1,1,1,1,11,0,0,25,Left
13,1,True,False,False,False,25,1,1,1,1,10,0,0,5,Left
14,2,False,True,False,True,269.258240356725,1,0,1,1,9,0,1,5,Left
15,2,False,True,False,True,279.508497187474,1,0,1,1,8,0,1,5,Left
16,2,False,True,False,True,291.547594742265,1,0,1,1,7,0,1,5,Down
17,2,False,True,False,True,305.163890393343,1,0,1,1,6,0,1,20.1200341185581,Down
18,2,False,True,False,True,285.043856274785,1,1,0,1,10,0,1,19.2902109564183,Down
19,2,False,True,False,True,265.753645318366,1,1,0,1,9,0,1,18.2662719030746,Down
20,2,False,True,False,True,247.487373415292,1,1,0,1,8,0,1,16.9987619829695,Down
21,2,False,True,False,True,230.488611432322,1,1,0,1,7,0,1,15.4304797562565,Down
22,2,False,True,False,True,215.058131676066,1,1,0,1,6,0,1,13.5016879686019,Down
23,2,False,True,False,True,201.556443707464,1,1,0,1,5,0,1,11.162116060866,Down
24,2,False,True,False,True,190.394327646598,1,1,0,1,4,0,1,8.39158041458475,Down
